Parlamentare,id,Partito,dataIngresso,736006,736014,736024,736025,736016,736026,736018,736001,736023,736029,736010,736027,736002,736004,736017,736031,736013,736005,736007,736022,736028,736030,736019,736009,736015,736008,736020,736012,736021,736003,736011,737040,737032,737055,737050,737027,737007,737011,737042,737053,737044,737047,737057,737016,737018,737033,737013,737043,737052,737006,737022,737038,737051,737054,737026,737028,737004,737025,737024,737005,737039,737045,737008,737023,737035,737031,737041,737015,737021,737020,737048,737010,737014,737034,737009,737012,737030,737046,737037,737003,737029,737002,737036,737049,737056,737001,737017,737019
RIZZO GIANLUCA,306088,M5S,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLAROSA ALESSIO MATTIA,306091,M5S,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAGNARLI CHIARA,306096,IPF-IC,2022-06-21,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACITI FAUSTO,306101,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESCI DALILA,306109,IPF-IC,2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIENI FEDERICA,306120,IV-IC'E',2019-09-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARENTELA PAOLO,306124,M5S,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTTI LUCA,306128,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNO BOSSIO VINCENZA,306134,PD,2018-03-27,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario
STUMPO NICOLA,306139,MISTO,2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
