"dataSeduta","numeroSeduta","votazione","numero","oggetto","esito","presenti","maggioranza","numeroLegale","votanti","favorevoli","contrari","astenuti","presidente"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-26",26,"Em. 2.5 (1a parte), Martelli e altri","respinto",242,121,144,240,88,144,8,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-25",25,"Em. 2.4, Martelli e altri","respinto",244,122,144,243,88,147,8,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-24",24,"Em. 2.3, Castaldi e altri","respinto",244,122,144,242,93,144,5,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-23",23,"Em. 2.2, Castaldi e altri","respinto",241,121,144,240,95,139,6,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-22",22,"Em. 2.1, Martelli e altri","respinto",244,122,144,243,101,140,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-21",21,"Em. 1-bis.0.2, Giovanni Mauro e Ferrara","respinto",237,116,144,230,74,143,13,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-20",20,"Em. 1-bis.0.1, De Petris e altri","respinto",241,119,144,236,57,176,3,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-19",19,"Em. 1.1-bis.2, Catalfo e altri","respinto",239,118,144,235,45,186,4,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-18",18,"Em. 1.24, Catalfo e altri","respinto",245,123,144,244,47,191,6,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-17",17,"Em. 1.23, Montevecchi e altri","respinto",243,122,144,242,93,144,5,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-16",16,"Em. 1.22, Catalfo e altri","respinto",240,120,144,238,50,149,39,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-15",15,"Em. 1.21, Catalfo e altri","respinto",239,120,144,238,85,151,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-14",14,"Em. 1.20, Catalfo e altri","respinto",237,118,144,234,48,184,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-13",13,"Em. 1.19, Petraglia e altri","respinto",240,120,144,239,51,174,14,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-12",12,"Em. 1.18, Serra e Puglia","respinto",241,121,143,240,69,169,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-11",11,"Em. 1.17, Uras e altri","respinto",242,121,143,241,83,145,13,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-10",10,"Em. 1.15 (1a parte), Lezzi e altri","respinto",239,120,143,238,94,142,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-9",9,"Em. 1.14, Catalfo e altri","respinto",241,121,143,240,97,141,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-8",8,"Em. 1.12 e 1.13, Serra e altri; Catalfo e altri","respinto",240,120,143,238,95,141,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-7",7,"Em. 1.9, Mangili e altri","respinto",240,120,143,239,95,140,4,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-6",6,"Em. 1.8, Blundo e altri","respinto",235,118,143,234,68,163,3,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-5",5,"Em. 1.7, D'Alì e altri","respinto",231,115,143,229,83,133,13,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-4",4,"Em. 1.5, Catalfo e altri","respinto",228,114,143,227,79,147,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-3",3,"Em. 1.4, Paglini e altri","respinto",228,114,143,227,84,142,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-2",2,"Em. 1.2, Paglini e altri","respinto",226,113,142,225,87,137,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-1",1,"Verifica del numero legale","",145,141,141,137,0,0,0,"http://dati.senato.it/senatore/6472"
2015-11-24,541,"http://dati.senato.it/votazione/17-541-2",2,"Verifica del numero legale","",198,141,141,188,0,0,0,"http://dati.senato.it/senatore/6472"
2015-11-24,541,"http://dati.senato.it/votazione/17-541-1",1,"Verifica del numero legale","",220,140,140,216,0,0,0,"http://dati.senato.it/senatore/6472"
2015-11-20,540,"http://dati.senato.it/votazione/17-540-3",3,"Votazione finale","approvato",169,85,156,168,154,6,8,"http://dati.senato.it/senatore/29110"
2015-11-20,540,"http://dati.senato.it/votazione/17-540-2",2,"Nota di variazioni","approvato",199,99,156,197,154,36,7,"http://dati.senato.it/senatore/29110"
2015-11-20,540,"http://dati.senato.it/votazione/17-540-1",1,"Verifica del numero legale","",189,149,149,187,0,0,0,"http://dati.senato.it/senatore/6472"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-33",33,"Articolo 17","approvato",245,122,150,243,138,93,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-32",32,"Articolo 16","approvato",244,122,150,243,140,92,11,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-31",31,"Articolo 15","approvato",244,122,150,242,140,88,14,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-30",30,"Articolo 14","approvato",243,122,150,242,138,90,14,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-29",29,"Articolo 13","approvato",239,119,150,237,137,87,13,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-28",28,"Articolo 12","approvato",242,121,150,241,138,91,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-27",27,"Articolo 11","approvato",245,122,150,243,140,92,11,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-26",26,"Articolo 10","approvato",245,123,150,244,139,93,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-25",25,"Em. 10.Tab.101, Scibona e Cioffi","respinto",244,122,150,243,93,144,6,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-24",24,"Em. 10.Tab.100, Scibona e Cioffi","respinto",243,122,150,242,93,143,6,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-23",23,"Articolo 9","approvato",238,119,150,236,139,85,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-22",22,"Articolo 8","approvato",236,118,150,234,138,84,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-21",21,"Articolo 7","approvato",234,117,150,232,138,82,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-20",20,"Articolo 6","approvato",231,115,150,229,133,82,14,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-19",19,"Articolo 5","approvato",236,117,150,233,137,84,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-18",18,"Articolo 4","approvato",236,118,150,234,137,85,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-17",17,"Articolo 3","approvato",237,119,150,236,139,87,10,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-16",16,"Em. 3.Tab.101, Castaldi e Girotto","respinto",236,118,150,235,85,143,7,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-15",15,"Em. 3.Tab.100, Girotto e Castaldi","respinto",237,118,150,235,85,142,8,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-14",14,"Articolo 2","approvato",238,119,150,237,140,87,10,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-13",13,"Em. 2.Tab.109, Montevecchi","respinto",233,116,150,231,84,140,7,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-12",12,"Em. 2.Tab.108, Taverna e altri","respinto",234,116,150,231,83,143,5,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-11",11,"Em. 2.Tab.107, Taverna e altri","respinto",234,117,150,232,83,143,6,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-10",10,"Em. 2.Tab.106, Taverna e altri","respinto",233,117,150,232,81,145,6,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-9",9,"Em. 2.Tab.105, Taverna e altri","respinto",235,117,150,233,86,144,3,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-8",8,"ANNULLATA","respinto",232,116,150,231,78,149,4,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-7",7,"Em. 2.Tab.104, Taverna e altri","respinto",228,113,150,225,75,147,3,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-6",6,"Em. 2.Tab.103, Taverna e altri","respinto",228,114,150,226,48,175,3,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-5",5,"Em. 2.Tab.102, Taverna e altri","respinto",226,113,150,225,75,149,1,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-4",4,"Em. 2.Tab.101, Cappelletti e altri","respinto",223,111,150,221,46,172,3,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-3",3,"Em. 2.Tab.100, Buccarella e altri","respinto",225,112,150,223,50,171,2,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-2",2,"Articolo 1","approvato",224,112,150,223,130,81,12,"http://dati.senato.it/senatore/1103"
2015-11-19,539,"http://dati.senato.it/votazione/17-539-1",1,"Verifica del numero legale","",225,149,149,217,0,0,0,"http://dati.senato.it/senatore/26041"
2015-11-17,538,"http://dati.senato.it/votazione/17-538-3",3,"Controprova","respinto",223,112,146,222,46,169,7,"http://dati.senato.it/senatore/29110"
2015-11-17,538,"http://dati.senato.it/votazione/17-538-2",2,"Controprova","respinto",222,111,146,221,50,168,3,"http://dati.senato.it/senatore/29110"
2015-11-17,538,"http://dati.senato.it/votazione/17-538-1",1,"Controprova","respinto",222,111,146,221,81,129,11,"http://dati.senato.it/senatore/29110"
2015-11-16,537,"http://dati.senato.it/votazione/17-537-1",1,"Verifica del numero legale","",132,141,141,122,0,0,0,"http://dati.senato.it/senatore/29110"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-40",40,"Votazione finale","approvato",220,110,144,219,138,67,14,"http://dati.senato.it/senatore/26041"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-39",39,"Em. 2.1, Petraglia e altri","respinto",218,108,143,215,66,145,4,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-38",38,"Em. 1-bis.1, Barozzino e altri","respinto",224,112,143,223,43,176,4,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-37",37,"Em. 1.0.2 (prima parte), Puglia e altri","respinto",223,112,143,222,44,168,10,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-36",36,"Em. 1.0.4, Serra e Puglia","respinto",217,107,143,212,45,157,10,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-35",35,"Em. 1.0.1, Serra e altri","respinto",222,111,143,221,51,160,10,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-34",34,"ODG G1.100, Paglini e Bottici","respinto",222,109,143,217,50,157,10,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-33",33,"ODG G1.2, Paglini e altri","respinto",224,109,143,217,64,143,10,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-32",32,"ODG G1.1, Paglini e altri","respinto",226,111,143,221,60,155,6,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-31",31,"Em. 1.22, Divina","respinto",225,112,143,223,44,172,7,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-30",30,"Em. 1.21, Montevecchi e altri","respinto",225,111,143,221,71,146,4,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-29",29,"Em. 1.103, Liuzzi","respinto",223,110,143,219,38,178,3,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-28",28,"Em. 1.100 (testo 2) (prima parte), Liuzzi","respinto",225,111,143,221,33,180,8,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-27",27,"Em. 1.20, Serra e altri","respinto",224,110,143,219,67,140,12,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-26",26,"Em. 1.19, Montevecchi e altri","respinto",221,109,143,216,74,138,4,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-25",25,"Em. 1.17 (testo 2)(prima parte), Paglini e altri","respinto",224,111,143,220,79,138,3,"http://dati.senato.it/senatore/422"
2015-11-05,536,"http://dati.senato.it/votazione/17-536-24",24,"Em. 1.16, Serra e altri","respinto",231,116,143,230,80,144,6,"http://dati.senato.it/senatore/422"
