Parlamentare;Espressione;LuogoN
MILANATO Lorena (FI);Contrario;Veneto 2
MINARDO Antonino (FI);Assente;Sicilia 2
MINNITI Marco (PD);Favorevole;Campania 2
MISITI Carmelo Massimo (M5S);Assente;Calabria
MOLINARI Riccardo (Lega);Contrario;Piemonte 2
MOLLICONE Federico (FdI);Assente;Lazio 1
MOLTENI Nicola (Lega);Assente;Lombardia 2
MONTARULI Augusta (FdI);Contrario;Piemonte 1
MOR Mattia (IV);Favorevole;Lombardia 1
MORANI Alessia (PD);In missione;Marche
MORASSUT Roberto (PD);In missione;Lazio 1
MORELLI Alessandro (Lega);Contrario;Lombardia 1
MORETTO Sara (IV);Favorevole;Veneto 1
MORGONI Mario (PD);Favorevole;Marche
MORRONE Jacopo (Lega);Assente;Emilia-Romagna
MOSCHIONI Daniele (Lega);Contrario;Friuli-Venezia Giulia
MUGNAI Stefano (FI);Assente;Toscana
MULÉ Giorgio (FI);Contrario;Liguria
MURA Romina (PD);Favorevole;Sardegna
MURELLI Elena (Lega);Contrario;Emilia-Romagna
MURONI Rossella (LeU);Assente;Puglia
MUSELLA Graziano (FI);Assente;Lombardia 1
NAPOLI Osvaldo (FI);Contrario;Piemonte 2
NAPPI Silvana (M5S);Favorevole;Campania 1
NARDI Martina (PD);Favorevole;Toscana
NAVARRA Pietro (PD);Favorevole;Sicilia 2
NESCI Dalila (M5S);Favorevole;Calabria
NEVI Raffaele (FI);Assente;Umbria
NISSOLI Angela Rosaria Detta Fucsia (FI);Assente;America settentrionale e centrale
NITTI Michele (M5S);Favorevole;Puglia
NOBILI Luciano (IV);Favorevole;Lazio 1
NOJA Lisa (IV);Favorevole;Lombardia 1
NOVELLI Roberto (FI);Contrario;Friuli-Venezia Giulia
OCCHIONERO Giuseppina (IV);Favorevole;Molise
OCCHIUTO Roberto (FI);Assente;Calabria
OLGIATI Riccardo (M5S);Favorevole;Lombardia 1
ORFINI Matteo (PD);Assente;Lazio 1
ORLANDO Andrea (PD);Assente;Emilia-Romagna
ORRICO Anna Laura (M5S);Favorevole;Calabria
ORSINI Andrea (FI);Contrario;Lombardia 3
OSNATO Marco (FdI);Assente;Lombardia 2
PADOAN Pier Carlo (PD);Favorevole;Toscana
PAGANI Alberto (PD);Favorevole;Emilia-Romagna
PAGANO Alessandro (Lega);Assente;Sicilia 1
PAGANO Ubaldo (PD);Favorevole;Puglia
PAITA Raffaella (IV);Favorevole;Liguria
PALAZZOTTO Erasmo (LeU);Assente;Sicilia 1
