senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/32862,Gianluca,Cantalamessa,M,19,2022-10-13,,elettivo,,1968-02-02,Napoli,Napoli,Italia
http://dati.senato.it/senatore/32598,Maria Cristina,Cantu',F,19,2022-10-13,,elettivo,,1964-12-21,Varese,Varese,Italia
http://dati.senato.it/senatore/520,Pier Ferdinando,Casini,M,19,2022-10-13,,elettivo,,1955-12-03,Bologna,Bologna,Italia
http://dati.senato.it/senatore/36388,Guido,Castelli,M,19,2022-10-13,,elettivo,,1965-11-30,Siena,Siena,Italia
http://dati.senato.it/senatore/32600,Maria Domenica,Castellone,F,19,2022-10-13,,elettivo,,1975-04-03,Villaricca,Napoli,Italia
http://dati.senato.it/senatore/32601,Francesco,Castiello,M,19,2022-10-13,,elettivo,,1942-10-13,Vallo Della Lucania,Salerno,Italia
http://dati.senato.it/senatore/33065,Roberto,Cataldi,M,19,2022-10-13,,elettivo,,1960-04-15,Ascoli Piceno,Ascoli Piceno,Italia
http://dati.senato.it/senatore/30511,Elena,Cattaneo,F,19,2022-10-13,,"a vita, di nomina del Presidente della Repubblica",,1962-10-22,Milano,Milano,Italia
http://dati.senato.it/senatore/29067,Gian Marco,Centinaio,M,19,2022-10-13,,elettivo,,1971-10-31,Pavia,Pavia,Italia
http://dati.senato.it/senatore/32603,Luca,Ciriani,M,19,2022-10-13,,elettivo,,1967-01-26,Pordenone,Pordenone,Italia
http://dati.senato.it/senatore/22910,Giulia,Cosenza,F,19,2022-10-13,,elettivo,,1968-01-25,Napoli,Napoli,Italia
http://dati.senato.it/senatore/36389,Carlo,Cottarelli,M,19,2022-10-13,,elettivo,,1954-08-18,Cremona,Cremona,Italia
http://dati.senato.it/senatore/22914,Stefania Gabriella Anastasia,Craxi,F,19,2022-10-13,,elettivo,,1960-10-25,Milano,Milano,Italia
http://dati.senato.it/senatore/36387,Andrea,Crisanti,M,19,2022-10-13,,elettivo,,1954-09-14,Roma,Roma,Italia
http://dati.senato.it/senatore/32608,Marco,Croatti,M,19,2022-10-13,,elettivo,,1972-09-17,Rimini,Rimini,Italia
http://dati.senato.it/senatore/36390,Ilaria,Cucchi,F,19,2022-10-13,,elettivo,,1974-06-22,Roma,Roma,Italia
http://dati.senato.it/senatore/31875,Cecilia,D'Elia,F,19,2022-10-13,,elettivo,,1963-07-31,Potenza,Potenza,Italia
http://dati.senato.it/senatore/36391,Concetta,Damante,F,19,2022-10-13,,elettivo,,1972-02-05,Gela,Caltanissetta,Italia
http://dati.senato.it/senatore/32747,Dario,Damiani,M,19,2022-10-13,,elettivo,,1974-06-21,Barletta,Barletta-Andria-Trani,Italia
http://dati.senato.it/senatore/32898,Luca,De Carlo,M,19,2022-10-13,,elettivo,,1972-08-07,Pieve Di Cadore,Belluno,Italia
http://dati.senato.it/senatore/22918,Peppe,De Cristofaro,M,19,2022-10-13,,elettivo,,1971-06-26,Napoli,Napoli,Italia
http://dati.senato.it/senatore/22814,Antonio,De Poli,M,19,2022-10-13,,elettivo,,1960-10-04,Vicenza,Vicenza,Italia
http://dati.senato.it/senatore/36393,Andrea,De Priamo,M,19,2022-10-13,,elettivo,,1971-05-24,Roma,Roma,Italia
http://dati.senato.it/senatore/36394,Raffaele,De Rosa,M,19,2022-10-13,,elettivo,,1978-06-20,Pompei,Napoli,Italia
http://dati.senato.it/senatore/36395,Costanzo,Della Porta,M,19,2022-10-13,,elettivo,,1975-10-29,Termoli,Campobasso,Italia
http://dati.senato.it/senatore/28670,Graziano,Delrio,M,19,2022-10-13,,elettivo,,1960-04-27,Reggio Nell'Emilia,Reggio nell'Emilia,Italia
http://dati.senato.it/senatore/32619,Gabriella,Di Girolamo,F,19,2022-10-13,,elettivo,,1977-05-15,Sulmona,L'Aquila,Italia
http://dati.senato.it/senatore/36396,Marco,Dreosto,M,19,2022-10-13,,elettivo,,1969-03-18,Spilimbergo,Pordenone,Italia
http://dati.senato.it/senatore/33096,Claudio,Durigon,M,19,2022-10-13,,elettivo,,1971-09-10,Latina,Latina,Italia
