"d","cognome","nome","info","dataNascita","luogoNascita","genere","ufficio","organo","inizioUfficio","fineUfficio","collegio","aggiornamento"
"http://dati.camera.it/ocd/deputato.rdf/d302764_19","COMAROLI","SILVANA ANDREINA","Laurea in economia e commercio; Responsabile amministrativo","19670327","SONCINO","female","CAPOGRUPPO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE)","20221109",,"LOMBARDIA 4 - P01",2022-11-26 12:00:21
"http://dati.camera.it/ocd/deputato.rdf/d302789_19","MADIA","MARIA ANNA","Laurea in scienze politiche, Dottorato di ricerca in economia; Parlamentare","19800905","ROMA","female","SEGRETARIO","XIV COMMISSIONE (POLITICHE DELL'UNIONE EUROPEA)","20221109","20221109","LAZIO 2 - P01",2022-11-10 12:01:24
"http://dati.camera.it/ocd/deputato.rdf/d302789_19","MADIA","MARIA ANNA","Laurea in scienze politiche, Dottorato di ricerca in economia; Parlamentare","19800905","ROMA","female","VICEPRESIDENTE","XIV COMMISSIONE (POLITICHE DELL'UNIONE EUROPEA)","20221109",,"LAZIO 2 - P01",2022-11-10 12:01:24
"http://dati.camera.it/ocd/deputato.rdf/d302794_19","MORASSUT","ROBERTO","Laurea in lettere moderne; Dirigente di partito","19631116","ROMA","male","VICEPRESIDENTE","IX COMMISSIONE (TRASPORTI, POSTE E TELECOMUNICAZIONI)","20221109",,"LAZIO 1 - P02",2023-04-11 12:01:21
"http://dati.camera.it/ocd/deputato.rdf/d302818_19","GRAZIANO","STEFANO","Laurea in ingegneria civile e ambientale; Ingegnere","19710913","AVERSA","male","CAPOGRUPPO","COMMISSIONE PARLAMENTARE PER L'INDIRIZZO GENERALE E LA VIGILANZA DEI SERVIZI RADIOTELEVISIVI","20230407",,"CAMPANIA 2 - P01",2023-04-12 12:00:32
"http://dati.camera.it/ocd/deputato.rdf/d302818_19","GRAZIANO","STEFANO","Laurea in ingegneria civile e ambientale; Ingegnere","19710913","AVERSA","male","CAPOGRUPPO","IV COMMISSIONE (DIFESA)","20221109",,"CAMPANIA 2 - P01",2023-04-12 12:00:32
"http://dati.camera.it/ocd/deputato.rdf/d302824_19","BITONCI","MASSIMO","Laurea in economia e commercio; Dottore commercialista, revisore contabile","19650624","PADOVA","male","CAPOGRUPPO","COMMISSIONE SPECIALE ISTITUITA IL 19 OTTOBRE 2022, AI SENSI DELL'ARTICOLO 22, COMMA 2, DEL REGOLAMENTO","20221021","20221107","VENETO 2 - P01",2022-11-26 12:01:06
"http://dati.camera.it/ocd/deputato.rdf/d302838_19","BRAMBILLA","MICHELA VITTORIA",,"19671026","LECCO","female","CAPOGRUPPO","XII COMMISSIONE (AFFARI SOCIALI)","20221109",,"SICILIA 1 - P02",2023-04-30 12:01:03
"http://dati.camera.it/ocd/deputato.rdf/d302856_19","DE MICHELI","PAOLA","Laurea in scienze politiche; Imprenditore agricolo, Dipendente di azienda privata","19730901","PIACENZA","female","VICEPRESIDENTE","X COMMISSIONE (ATTIVITA'  PRODUTTIVE, COMMERCIO E TURISMO)","20221109",,"EMILIA-ROMAGNA - P01",2022-11-12 12:00:24
"http://dati.camera.it/ocd/deputato.rdf/d302867_19","BERGAMINI","DEBORAH","Laurea in lingue e letterature straniere; Giornalista professionista, Vice Presidente del Gruppo PPE all'Assemblea del Consiglio d'Europa","19671024","VIAREGGIO","female","VICEPRESIDENTE","DELEGAZIONE PARLAMENTARE PRESSO L'ASSEMBLEA DEL CONSIGLIO D'EUROPA (CDE)","20230413",,"TOSCANA - P01",2023-04-28 12:00:40
"http://dati.camera.it/ocd/deputato.rdf/d302913_19","MINARDO","ANTONINO","Laurea in scienze politiche; Dirigente di azienda privata","19780205","MODICA","male","PRESIDENTE","IV COMMISSIONE (DIFESA)","20221109",,"SICILIA 2 - P03",2023-01-11 12:00:43
"http://dati.camera.it/ocd/deputato.rdf/d302980_19","MACCANTI","ELENA","Giornalista professionista","19710205","TORINO","female","CAPOGRUPPO","IX COMMISSIONE (TRASPORTI, POSTE E TELECOMUNICAZIONI)","20221109",,"PIEMONTE 1 - P01",2023-03-15 12:00:29
"http://dati.camera.it/ocd/deputato.rdf/d305549_19","BONAFE'","SIMONA","Laurea in scienze politiche","19730712","VARESE","female","CAPOGRUPPO","I COMMISSIONE (AFFARI COSTITUZIONALI, DELLA PRESIDENZA DEL CONSIGLIO E INTERNI)","20221109",,"TOSCANA - P03",2022-11-10 12:02:15
"http://dati.camera.it/ocd/deputato.rdf/d305553_19","GADDA","MARIA CHIARA","Laurea in ingegneria gestionale; Dipendente di azienda privata","19800206","TRADATE","female","VICEPRESIDENTE","XIII COMMISSIONE (AGRICOLTURA)","20221109",,"LOMBARDIA 2 - P02",2022-11-10 12:02:29
"http://dati.camera.it/ocd/deputato.rdf/d305580_19","GEBHARD","RENATE","Laurea in giurisprudenza; Avvocata.","19770502","BOLZANO/BOZEN","female","CAPOGRUPPO","VI COMMISSIONE (FINANZE)","20221109",,"TRENTINO-ALTO ADIGE/SÜDTIROL - P01",2022-11-10 12:01:47
"http://dati.camera.it/ocd/deputato.rdf/d305586_19","SCHULLIAN","MANFRED","Laurea in giurisprudenza; Avvocato amministrativista","19620309","BOLZANO/BOZEN","male","CAPOGRUPPO","XIII COMMISSIONE (AGRICOLTURA)","20221109",,"TRENTINO-ALTO ADIGE/SÜDTIROL - P01",2022-11-10 12:00:57
"http://dati.camera.it/ocd/deputato.rdf/d305586_19","SCHULLIAN","MANFRED","Laurea in giurisprudenza; Avvocato amministrativista","19620309","BOLZANO/BOZEN","male","CAPOGRUPPO","CONFERENZA DEI PRESIDENTI DI GRUPPO","20221019",,"TRENTINO-ALTO ADIGE/SÜDTIROL - P01",2022-11-10 12:00:57
