"votazione","titolo","descrizione","numeroVotazione","cognome","nome","espressione","infoAssenza","deputato"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BALDELLI","SIMONE","Non ha votato","In missione","http://dati.camera.it/ocd/deputato.rdf/d302089_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BALDINI","MARIA TERESA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d308181_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BALDINO","VITTORIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307435_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BARATTO","RAFFAELE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307692_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BARBUTO","ELISABETTA MARIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307566_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BARELLI","PAOLO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d300497_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BARONI","MASSIMO ENRICO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d305800_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BARONI","ANNA LISA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307655_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BARTOLOZZI","GIUSI","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307404_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BARZOTTI","VALENTINA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d308001_18"
